,test_loss,layer,residual_cells,exponent,learning_rate,dropout_first,dropout_middle,dropout_last,activation_function,alpha,batch_size,epochs
58,0.0025900969789218594,12,2,8,1e-06,0.2,0.0,0.2,tanh,1.0,16,200
59,0.0026060110837634026,12,2,8,1e-06,0.2,0.2,0.5,elu,1.0,16,200
60,0.0026201122151345607,12,2,8,1e-06,0.2,0.2,0.2,elu,1.0,16,200
61,0.002635196724418665,12,1,8,1e-06,0.2,0.0,0.5,elu,1.0,32,200
62,0.002642855910036432,12,1,8,1e-06,0.2,0.0,0.5,tanh,1.0,16,200
63,0.0026478901480222338,12,2,8,1e-06,0.2,0.0,0.5,elu,0.0,16,200
64,0.0026576539999722893,12,2,8,1e-06,0.5,0.0,0.5,elu,1.0,32,200
902,0.0026606213881715467,12,1,8,1e-06,0.0,0.0,0.2,elu,1.0,16,200
65,0.0026744069622888843,12,2,8,1e-06,0.0,0.0,0.0,elu,1.0,16,200
903,0.0026744069622888843,12,2,8,1e-06,0.0,0.0,0.0,elu,1.0,16,200
66,0.002685847067781509,12,0,8,1e-06,0.5,0.0,0.2,tanh,1.0,16,200
67,0.002688028653618819,12,0,8,1e-06,0.5,0.0,0.5,tanh,1.0,16,200
68,0.002688673949016861,9,0,8,1e-06,0.5,0.0,0.2,tanh,1.0,16,200
69,0.002688685069347444,9,0,8,1e-06,0.5,0.0,0.5,tanh,1.0,16,200
70,0.002697615831082389,12,1,8,1e-06,0.2,0.0,0.2,tanh,1.0,16,200
71,0.0027013962847189502,9,0,6,1e-06,0.2,0.0,0.5,elu,1.0,16,200
72,0.0027013962847189502,9,0,6,1e-06,0.2,0.0,0.2,elu,1.0,16,200
73,0.002701857965913337,12,2,8,1e-06,0.2,0.0,0.5,tanh,1.0,32,200
74,0.0027083736751000106,9,1,8,1e-06,0.2,0.0,0.5,tanh,1.0,16,200
75,0.002716004503895975,9,2,8,1e-06,0.5,0.0,0.5,elu,1.0,32,200
76,0.002720612947127116,12,1,8,1e-06,0.2,0.2,0.2,elu,1.0,16,200
77,0.002721339380046168,9,1,8,1e-06,0.2,0.0,0.5,elu,1.0,32,200
78,0.0027337730744083173,12,2,8,1e-06,0.5,0.0,0.5,tanh,1.0,16,200
80,0.0027438234359330005,12,0,6,1e-06,0.2,0.0,0.2,elu,1.0,16,200
79,0.0027438234359330005,12,0,6,1e-06,0.2,0.0,0.5,elu,1.0,16,200
81,0.002745552950777429,9,1,8,1e-06,0.2,0.0,0.2,tanh,1.0,16,200
82,0.002747581119248291,9,2,8,1e-06,0.2,0.0,0.5,tanh,1.0,32,200
83,0.0027499231677466066,12,2,8,1e-06,0.2,0.0,0.5,elu,1.0,64,200
904,0.002753526705860341,34,1,8,1e-06,0.0,0.0,0.2,elu,1.0,16,200
84,0.002757189574138241,9,1,8,1e-06,0.2,0.2,0.2,elu,1.0,16,200
85,0.002758183604905187,12,0,8,1e-06,0.5,0.0,0.2,tanh,1.0,32,200
86,0.002758183604905187,12,0,8,1e-06,0.5,0.0,0.5,tanh,1.0,32,200
87,0.002761542364898525,12,1,8,1e-06,0.2,0.2,0.5,elu,1.0,16,200
88,0.002775731964662454,12,0,6,1e-06,0.2,0.0,0.5,tanh,1.0,16,200
89,0.002775740612605289,12,0,6,1e-06,0.2,0.0,0.2,tanh,1.0,16,200
90,0.0027856745641721024,12,1,8,1e-06,0.5,0.0,0.5,elu,1.0,16,200
91,0.0027878863880050177,9,0,6,1e-06,0.2,0.0,0.5,tanh,1.0,16,200
92,0.00278788819753142,9,0,6,1e-06,0.2,0.0,0.2,tanh,1.0,16,200
93,0.002788471167572496,9,1,8,1e-06,0.2,0.2,0.5,elu,1.0,16,200
94,0.0027935313788364858,12,1,8,1e-06,0.2,0.0,0.2,elu,1.0,32,200
95,0.002797779852518341,9,0,6,1e-06,0.2,0.0,0.2,elu,1.0,32,200
96,0.002797779852518341,9,0,6,1e-06,0.2,0.0,0.5,elu,1.0,32,200
97,0.0027988061949111107,9,2,8,1e-06,0.5,0.0,0.5,tanh,1.0,16,200
98,0.002801289884223641,9,2,8,1e-06,0.2,0.2,0.2,elu,1.0,32,200
100,0.002801956361772561,12,0,8,1e-06,0.2,0.2,0.5,elu,1.0,16,200
99,0.002801956361772561,12,0,8,1e-06,0.2,0.2,0.2,elu,1.0,16,200
101,0.0028027964989910184,9,2,8,1e-06,0.2,0.2,0.5,elu,1.0,32,200
102,0.002810593505980789,12,2,8,1e-06,0.2,0.2,0.5,elu,1.0,32,200
103,0.002817148956433029,12,2,8,1e-06,0.2,0.2,0.2,elu,1.0,32,200
104,0.0028280873346347795,9,1,8,1e-06,0.5,0.0,0.5,elu,1.0,16,200
105,0.0028299727737562024,9,2,8,1e-06,0.2,0.0,0.2,tanh,1.0,32,200
107,0.0028353444398013963,9,0,8,1e-06,0.5,0.0,0.5,tanh,1.0,32,200
106,0.0028353444398013963,9,0,8,1e-06,0.5,0.0,0.2,tanh,1.0,32,200
108,0.0028393141023267754,12,1,8,1e-06,0.5,0.0,0.2,elu,1.0,16,200
109,0.002844111982445953,12,1,8,1e-06,0.2,0.0,0.5,tanh,1.0,32,200
110,0.0028441737008973763,12,2,8,1e-06,0.5,0.0,0.2,elu,1.0,32,200
111,0.002844982175575713,12,2,8,1e-06,0.2,0.0,0.2,tanh,1.0,32,200
112,0.002851842567167898,9,1,8,1e-06,0.5,0.0,0.2,elu,1.0,16,200
113,0.0028607511793996977,9,2,8,1e-06,0.5,0.0,0.2,elu,1.0,32,200
114,0.002861534135866643,9,1,8,1e-06,0.2,0.0,0.2,elu,1.0,32,200
115,0.002862888389097637,12,0,6,1e-06,0.2,0.0,0.5,elu,1.0,32,200
116,0.0028647252050277537,12,0,6,1e-06,0.2,0.0,0.2,elu,1.0,32,200
117,0.0028752654767020803,9,2,8,1e-06,0.5,0.0,0.2,tanh,1.0,16,200
905,0.002876937695958549,18,2,8,1e-06,0.0,0.0,0.0,elu,1.0,16,200
118,0.0028846836677977657,9,2,6,1e-06,0.2,0.0,0.2,elu,1.0,16,200
119,0.0028876330167894692,12,0,6,1e-06,0.2,0.0,0.2,tanh,1.0,32,200
120,0.002887859957811043,12,0,6,1e-06,0.2,0.0,0.5,tanh,1.0,32,200
121,0.002892773397330357,12,1,8,1e-06,0.2,0.0,0.2,tanh,1.0,32,200
122,0.0028941835349333466,12,1,8,1e-06,0.2,0.2,0.2,tanh,1.0,16,200
123,0.00289462864989832,12,1,8,1e-06,0.2,0.2,0.5,tanh,1.0,16,200
124,0.0028964362410941608,12,2,8,1e-06,0.5,0.0,0.2,tanh,1.0,16,200
125,0.002909556879909859,9,2,8,1e-06,0.5,0.2,0.5,elu,1.0,16,200
126,0.0029108053783754506,9,1,8,1e-06,0.2,0.0,0.5,tanh,1.0,32,200
127,0.0029113225208527906,9,0,6,1e-06,0.2,0.0,0.2,tanh,1.0,32,200
128,0.00291160535948479,9,0,6,1e-06,0.2,0.0,0.5,tanh,1.0,32,200
129,0.002915258964795225,9,2,8,1e-06,0.5,0.2,0.2,elu,1.0,16,200
130,0.002921509142451543,12,1,8,1e-06,0.2,0.2,0.2,elu,1.0,32,200
132,0.002931273143922945,9,0,6,1e-06,0.5,0.0,0.2,elu,1.0,16,200
131,0.002931273143922945,9,0,6,1e-06,0.5,0.0,0.5,elu,1.0,16,200
133,0.0029366082533590684,12,2,6,1e-06,0.2,0.0,0.5,elu,1.0,16,200
134,0.002943241903802941,12,1,8,1e-06,0.2,0.2,0.5,elu,1.0,32,200
135,0.0029463027177148464,12,2,8,1e-06,0.5,0.2,0.5,elu,1.0,16,200
136,0.002946314613477325,12,2,6,1e-06,0.2,0.0,0.2,elu,1.0,16,200
137,0.002946967699131541,9,2,6,1e-06,0.2,0.0,0.5,elu,1.0,16,200
139,0.0029498879835481106,9,0,8,1e-06,0.2,0.2,0.2,elu,1.0,16,200
138,0.0029498879835481106,9,0,8,1e-06,0.2,0.2,0.5,elu,1.0,16,200
140,0.0029524135119100344,9,1,8,1e-06,0.2,0.0,0.2,tanh,1.0,32,200
141,0.0029580510282132873,12,2,8,1e-06,0.5,0.2,0.2,elu,1.0,16,200
142,0.0029595277144338072,9,2,8,1e-06,0.2,0.2,0.5,tanh,1.0,16,200
143,0.0029661307415151266,12,2,8,1e-06,0.5,0.0,0.5,tanh,1.0,32,200
144,0.002968354621398404,9,1,8,1e-06,0.2,0.2,0.5,tanh,1.0,16,200
145,0.0029717245730724443,9,1,8,1e-06,0.2,0.2,0.2,tanh,1.0,16,200
146,0.0029802274217084284,9,2,8,1e-06,0.2,0.2,0.2,tanh,1.0,16,200
147,0.002980995230644312,12,2,6,1e-06,0.2,0.2,0.2,elu,1.0,16,1000
148,0.0029845067552421605,6,2,6,1e-06,0.2,0.2,0.2,elu,1.0,16,1000
149,0.002989298864323337,9,2,6,1e-06,0.2,0.2,0.2,elu,1.0,16,1000
150,0.0029925868786883827,9,1,8,1e-06,0.2,0.2,0.2,elu,1.0,32,200
151,0.0029966950954618005,12,1,8,1e-06,0.5,0.0,0.5,elu,1.0,32,200
152,0.003003735517716041,9,1,8,1e-06,0.2,0.2,0.5,elu,1.0,32,200
153,0.0030121830095614964,9,0,8,1e-06,0.5,0.2,0.5,elu,1.0,16,200
154,0.003012897821032484,9,0,8,1e-06,0.5,0.2,0.2,elu,1.0,16,200
155,0.003024228289654109,12,2,8,1e-06,0.2,0.2,0.5,tanh,1.0,16,200
156,0.003031532671993377,12,2,8,1e-06,0.2,0.2,0.2,tanh,1.0,16,200
157,0.003034126392539573,9,1,8,1e-06,0.5,0.0,0.5,elu,1.0,32,200
158,0.003037339596473134,12,1,8,1e-06,0.5,0.0,0.5,tanh,1.0,16,200
159,0.003038130057931549,12,1,6,1e-06,0.2,0.2,0.2,elu,1.0,16,1000
161,0.003038287950562751,12,0,6,1e-06,0.5,0.0,0.2,elu,1.0,16,200
